location,date,new_cases
Iloilo,2020-05-02,0
Iloilo,2020-05-03,3
Iloilo,2020-05-04,2
Iloilo,2020-05-05,0
Iloilo,2020-05-06,6
Iloilo,2020-05-07,1
Iloilo,2020-05-08,0
Iloilo,2020-05-09,3
Iloilo,2020-05-10,0
Iloilo,2020-05-11,0
Iloilo,2020-05-12,3
Iloilo,2020-05-13,0
Iloilo,2020-05-14,1
Isabela,2020-03-27,1
Isabela,2020-03-28,3
Isabela,2020-03-29,0
Isabela,2020-03-30,0
Isabela,2020-03-31,0
Isabela,2020-04-01,1
Isabela,2020-04-02,0
Isabela,2020-04-03,0
Isabela,2020-04-04,0
Isabela,2020-04-05,0
Isabela,2020-04-06,0
Isabela,2020-04-07,0
Isabela,2020-04-08,0
Isabela,2020-04-09,1
Isabela,2020-04-10,0
Isabela,2020-04-11,1
Isabela,2020-04-12,0
Isabela,2020-04-13,1
Isabela,2020-04-14,0
Isabela,2020-04-15,0
Isabela,2020-04-16,0
Isabela,2020-04-17,0
Isabela,2020-04-18,0
Isabela,2020-04-19,0
Isabela,2020-04-20,0
Isabela,2020-04-21,0
Isabela,2020-04-22,0
Isabela,2020-04-23,0
Isabela,2020-04-24,0
Isabela,2020-04-25,1
La Union,2020-03-21,2
La Union,2020-03-22,0
La Union,2020-03-23,0
La Union,2020-03-24,0
La Union,2020-03-25,0
La Union,2020-03-26,0
La Union,2020-03-27,0
La Union,2020-03-28,0
La Union,2020-03-29,0
La Union,2020-03-30,1
La Union,2020-03-31,0
La Union,2020-04-01,1
La Union,2020-04-02,7
La Union,2020-04-03,0
La Union,2020-04-04,0
La Union,2020-04-05,0
La Union,2020-04-06,0
La Union,2020-04-07,0
La Union,2020-04-08,0
La Union,2020-04-09,0
La Union,2020-04-10,2
La Union,2020-04-11,0
La Union,2020-04-12,0
La Union,2020-04-13,1
La Union,2020-04-14,0
La Union,2020-04-15,0
La Union,2020-04-16,0
La Union,2020-04-17,0
La Union,2020-04-18,0
La Union,2020-04-19,0
La Union,2020-04-20,0
La Union,2020-04-21,0
La Union,2020-04-22,0
La Union,2020-04-23,0
La Union,2020-04-24,1
La Union,2020-04-25,2
Laguna,2020-03-14,1
Laguna,2020-03-15,0
Laguna,2020-03-16,0
Laguna,2020-03-17,0
Laguna,2020-03-18,0
Laguna,2020-03-19,0
